degreeAccronym|degreeName 
E Date|Expiry date
E.M.|Engineer of Mines
EAS|Experimental And Applied Science
ECAD|Extra Curriculum Activity Director
ECDL|European Computer Drivers License
ECON|Economics
ECT|Electronics & Communications Technology
ED D|Education Doctorate
Ed. D|Educational Doctorate
Ed. S.|Education Specialist
ED.L.D.|Doctor of Education Leadership
Ed.S.|Educational Specialist
EDD|Economic Development District
EdD|Doctor of Education
EDRA|European Diploma in Regional Anaesthesia & Acute Pain Management
EE|Electrical Engineering
EE|Environmental Engineering
EECT|Electricity Electronics Computer Technology
EEE|Electrical and Electronic Engineering
EEM|Electrical Engineering Management
EET|Electrical Engineering Technologies
EIBM|European and International Business Management
EiL|Education is Life
ELA|English language arts
ELMT|Electro-Mechanical Technology
ELT|Elementary Laboratory Technology
EMAC|Electronic Media Arts and Communications
EMBA|Executive Masters Of Business Administration
EMCI|Eerste Monteur Communicatie Installaties
EMEM|Executive Master in Energy Management
EMGM|Executive Master of Global Management
EMIS|Engineering Management Information and Systems
EMOT|Entry Level Master's Program
EMOT|Management of Technology Executive Master's
EMP|Executive Masters Program
EMT|Emergency Medical Technician
ENV.E.|Environmental Engineer(ing)
EPIET|European Programme for Intervention Epidemiology Training
ES|English Studies
ESLC|Elementary School leaving certificate
ESM|Engineering Systems Management
ESS|Earth and Space Sciences
ET|Educational Technologies
F.Sc.|Faculty in Science (Certificate)
FAAAAI|Fellow of the American Academy of Allergy, Asthma and Immunology
FAACAP|Fellow of the American Academy of Child and Adolescent Psychiatry
FAAD|Fellow of the American Academy of Dermatology
FAAFP|Fellow of the American Academy of Family Physicians
FAAN|Fellow of the American Academy of Neurology
FAANS|Fellow of the American Association of Neurological Surgeons
FAAO|Fellow of the American Academy of Ophthalmology
FAAOHNS|Fellow of the American Academy of Otolaryngology-Head and Neck Surgery
FAAOS|Fellow of the American Academy of Orthopedic Surgeons
Faap|Fellow of the American Academy of Pediatrics
FAAPMR|Fellow of the American Academy of Physical Medicine and Rehabilitation
FACAAI|Fellow of the American College of Allergy, Asthma and Immunology
FACC|Fellow of the American College of Cardiology
FACCP|Fellow of the American College of Chest Physicians
FAcEM|Fellow of the Academy of Emergency Management
FACEP|Fellow of the American College of Emergency Physicians
FACEP|Fellow of the College of Emergency Physicians
FACEP|American College of Emergency Physicians
FACG|Fellow of the American College of Gastroenterology
FACLM|Fellow of the American College of Legal Medicine
FACNP|Fellow of the American College of Nuclear Physicians
FACOEM|Fellow of the American College of Occupational and Environmental Medicine
FACOG|Fellow of the American College of Obstetricians and Gynecologists
FACP|Fellow of the American College of Physicians
FACPM|Fellow of the American College of Preventive Medicine
FACR|Fellow of the American College of Radiology
FACS|Family And Consumer Sciences
FACS|Fellow of the American College of Surgeons
FACS|Family And Consumer Science
FAD|Fashion Art Design
FAGA|Fellow of the American Gastroenterological Association
FAGS|Fellow of the American Geriatrics Society
FAPA|Fellow of the American Psychiatric Association
FARM|Farm Agriculture And Rural Marketing
FARM|Food, Agriculture, And Rural Marketing
FAS|Field of Anthropological Study
FASA|Fellow of the American Society of Anesthesiologists
Fascp|Fellow of the American Society for Clinical Pathology
FASCRS|Fellow of the American Society of Colon and Rectal Surgeons
FASIM|Fellow of the American Society of Internal Medicine
FASNC|Fellow of the American Society of Nuclear Cardiology
FASPS|Fellow of the American Society of Plastic Surgeons
FAST|Food and Agricultural Sciences and Technology
FATS|Fellow of the American Thoracic Society
FCAP|Fellow of the College of American Pathologists
FCE|First Certificate Examination
FCPS|Fellow of College Physicians and Surgeons
FCS|Family and Child Studies
FCS|Family And Consumer Sciences
FDAD|Foundation Diploma in Architecture & Design
FES|Forestry & Environmental Studies
FIBS|Finnish International Baccalaureate Society
FIM|Food Industry Management
FLS|Fellow of the Linnean Society
FM|Film and Music
FMG|foreign medical graduate
FNATA|Fellow of the National Athletic Trainers' Association
FNC|Frogans Network Certificate
For.Od.|Forensic Odontology
FPAMS|Fellow, Pakistan Academy of Medical Sciences
FRCAM (Dublin)|Fellow , Royal College of Alternative Medicine (Dublin)
FRCP|Fellow of the Royal College of Physicians
FRCPE|Fellow of the Royal College of Physicians of Edinburgh
FRCSE|Fellow of the Royal College of Surgeons of England
FRCST|Fellow of the Royal College of Surgeons of Thailand
FRS|Fellow of the Royal Society
FS|Forensic Science
FSc|Faculty of Science
FSC|Foundation in Science Certificate
FSNM|Fellow of the Society of Nuclear Medicine
FSR|Fellow of the Society of Radiographers
FVP|Film And Video Production
FVPT|Film and Video Production Technology
FZS|Fellow of the Zoological Society
GAP|Graduate And Professional
GATT|A Global Arrangement For Tax Treaties
GCCE|Graduate Certificate in Counselor Education
GCE|Graduate Certificate of Education
GCPA|Graduate Certificate in Professional Accounting
GCSE|General Certificate of Secondary Education
GCTE|Graduate Certificate in Tertiary Education
GDEP|Graduate Diploma of Editing and Publishing
GDIP|Graduate Diploma In Philosophy
GDMC|Graduate Diploma in Mass Communication
GDRD|Graduate Diploma in Rural Development
GDS|Grosses Deutsches Sprachdiplom
GED|General Education Degree (High School non-graduation degree)
GED|General Education Degree
GEEB|Graduates in Ecology and Evolutionary Biology
GEO|Geology
GGCP|Graduate Gerontology Certificate Program
GGCP|Green Gardener Certification Program
GGRE|Geology Geophysics and Reservoir Engineering
GIS|Geographic Information Science
GIT|Glass And Instrument Technology
GLMBA|Global Local Masters of Business Administration
GLP|Graduated License Program
GME|Graduate Medical Education
GME|Graduate in Marine Engineering
GND|Graduate Non-Degree program
GNVQ|General National Vocation Qualification
GO+UP|go to up stair.
GOSSEE|Global Office for Students Exchange
GPTS|Graduate Programme for Transcultural Studies
Grad Cert Ed|Graduate Certificate in Education
Grad Dip Dent|Graduate Diploma in Dentistry
Grad. Dip. Dent.|Graduate Diploma in Dentistry
GS|General Studies
GS|Gender Studies
GSAA|General Studies A A
GSD|General Studies Degree
GSEC|General Secondary Education Certificate
GSIS|Graduate School of International Studies
h.c.|honoris causa (honorary)
HACS|Health And Community Studies
HBOMGC|Hopkins Business Of Medicine Graduate Certificate
HBOR|Honours Bachelor of Outdoor Recreation
HBsc|Honors Bachelor of Sciences Degree
HC|Honoris Causa
HD|A Half Degree
HDC|Higher Diploma in Commerce
HDFS|Human Development and Family Studies
HDip|Higher Diploma
HDIT|Higher Diploma in Information Technology
HFA|Humanities and Fine Arts
HG|Human Geography
HIM|Health Information Management
HIST|History
HIT|Health Information Technology
HIT|Holistic Information Technology
HITS|Hospitality Information Technology Studies
HITS|Human Information Technology Systems
HKAAT|Hong Kong Academic Aptitude Test
HKALE|Hong Kong Advanced Level Examination
HKDSE|Hong Kong Diploma of Secondary Education
HM|Headmaster
HM|Headmistress
HM|Hydrography and Meteorology
HM|Holistic Nurse
HNC|Higher National Certificate
HND|Have No Degree
Hon BDS|Honours Bachelor of Dental Surgery
HONS|With HONors
Hons.|[with] Honors
HPR|Housing And Planning Research
HRAD|Hotel and Restaurant Administration Degree
HRIS|Human Resources Information Systems
HRM|Human Resource Management
HS|Hispanic Studies
HS DIP|Health and Safety DIPloma
HSAM|Health Services Administration and Management
HSDIP|High School Diploma
HSG|High School Graduate
HSL DIP|Health & Safety Law DIPloma
HSLC|Health Sciences Learning Center (University of Wisconsin)
HSPP|Health Service Provider in Psychology
HSSC|Higher Secondary School Certificate
HST|History
HST|Healthcare Science and Technology
HST|Health Sciences and Technology
HTET|Haryana Teacher Eligibility Test
HTI|Highest Technological Institute
IAAMC|International Academy of Arts, Media and Creativity
IB|International Baccalaureate
IB|International Baccalaureus
IBBA|International Bachelor of Business Administration
IBEM|International Business for Emerging Markets
IBFS|International Bachelor of Food Science
IBIT|International Business and Information Technology
IBS|International Business Studies
IC|Information and Communication
ICE|Integrated Chemical Engineering
ICS|International Comparative Studies
ICS|Intermediate in Computer Sciences
icse|Indian Certificate of Secondary Education
ICT|Information and Computer Technology
IDBC|International Diploma in Bilingual Communications
IDDE|Instructional Design and Diversity Education
IDE|Industrial Development Engineering
IDP|International Diploma Program
IDS|Information And Decision Sciences
IDSC|Information and Decision Sciences Degree
IE|Industrial Engineering
IEM|Industrial Environmental Management
IEPT|International English Proficiency Test
IESE|Industrial Engineering and Systems Engineering
IET|Industrial Engineering Technology
IET|Information Engineering Technology
IGCSE|International General Certificate of Secondary Education
IHL|Institutions of Higher Learning
IIT|Integrated Information Technology
ILT|Information and Learning Technology
IMAE|International Master in Applied Ecology
IMBA|International Master of Business Administration
IMC|Integrated Medical Courses
IMC|International Marketing Communications
IMG|international medical graduate
IMIM|International Master in Industrial Management
IMLA|International Master of Landscape Architecture
IMP|Industrial Marketing and Purchasing
IMPS|Integrated Mathematics And Physical Science
IMSRO|International Master of Science in Rural Organisation
INC|Incomplete
ING|Ingenieur
IPT|Information Processing and Technology
IPTL|Intellectual Property / Technology Law
IR|Industrial Research
IR|International Relations
IS|Intuitive Studies
ISDS|Information Systems Decision Sciences
ISIS|Information Science and Information Studies
IST|Information Sciences and Technology
IST|Information Systems Technologies
IST|Information System Technology
ITC|Information Technology and Communication
ITC|Industrial Technician Certificate
ITE|Industrial Technology Education
b'IVW'|b'Ingenieurb\x81ro Vermessung Weidener'
J.D.|Juris Doctor
J.S.D|Doctor of Juristic Science
JCL|Licenciate in Canon Law
JCW|Journalism and Creative Writing
JD|Juris Doctor
JEM|Journalism English And Modern
JIMS|Jagannath International Management School
JMC|Journalism Mass Communication
JSD|Doctor of Laws
JSD|Juris Scientiae Doctor (Doctor of Juristic Science)
JSM|Master of Science of Law
JUDR|Doctor of Laws
KAP|Knowledge Attitude Practice
KCA|Keyboarding And Computer Applications
KEWL|Knowledge Excellence Wisdom Learning
KNS|Kinesiology and Nutritional Science
L.H.D|Doctor of Humane Letters
L.Mus.,A.|Licentiate in Music, Australia
LA|Language Arts
LAE|Licenced Aircraft Engineer
LBSW|Licensed Baccalaureate Social Worker
LCIBSE|Licentiate Chartered Institution of Building Services Engineers
LDS|Licence in Dental Surgery
LETiD|Learning Everyday Till i Die
LFPS|Certification in Lean and Flexible Production Systems
LHD|Doctor of Humane Letters
Lic. Arts|Licentiate in Arts
Lic. Ps.|Licenciate in Psychology
LIS|Library Information Science
LIT|Literature
LL. B.|Bachelor of Laws (Legum Baccalaureus)
LL.B|Bachelor of Law
LL.D.|Llegum Doctor
LL.M.|Llegum Magister
LLB|Legum Baccalaureus (Bachelor of Law)
LLD|Doctor of Laws
LLM|Legum Magister
LoI|Lack of Idealism
LRAM|Licentiate of the Royal Academy of Music
LRE|Linguistic Research And Engineering
LS|Liberal Studies
LSR|Life Science Research
LT|Learning Technologies
M|Mathematics
M|Music
M. Dent.|Master of Dentistry
M. Stomat.|Master of Stomatology
M.A.Ed.|Master of Arts in Education
M.Aero.E.|Master of Aeronautical Engineering
M.ARCH|Master of ARCHitecture
M.B.,B.S.|Bachelor of Medicine & Bachelor of Surgery [Lat.]
M.C.L.|Master of Comparative Law
M.Com|Master of Commerce
M.D.S.|Master of Dental Surgery
M.Dent	|Master of Dentistry
M.Div.|Master of Divinity
M.Ed|Master of Education
M.Ed.|Masters in Education
M.Ed.|Master Of Education
M.ENG|Master of Engineering
M.F.A.|Master of Fine Arts
M.H.A.|Master of Hospital Administration
M.L.|Master of Laws
M.Li.S.|Master of Library Science
M.S.M.|Master of Sacred Music
M.S.N.|Master of Science in Nursing
M.S.P.T.|Master of Science in Physical Therapy
M.S.W.|Master of Social Work
M.Stomat.|Master of Stomatology
M.Th.|Master of Theology
MA|Bachelor of Arts
MA|Modern Arts
MA|Master of Arts
MAAD|Master of Advanced Architectural Design
MAAL|Master of Arts in Applied Linguistics
MABE|Master of Arts in Business Economics
MABTS|Master of Arts in Biblical and Theological Studies
MAC|Management And Administrative Computing
MAC|Masters of Acupuncture
MACC|Master of Arts in Corporate Communication
MACF|Masters of Arts in Conflict Facilitation
MACFOC|Masters of Arts in Conflict Facilitation and Organizational Change
MACJ|Master of Arts in Criminal Justice
MACS|Molecular And Cellular Sciences
MADD|Music, Art, Drama, and Dance
MAED|Master of Arts in Education
MAES|Masters Applied Environmental Studies
MAFIA|Management And Financial Information Analysis
MAFM|Masters in Accounting & Financial Management
MAGD|Master of the Academy of General Dentistry
MAICS|Masters of Arts in Inter-Cultural Studies
MAIS|Master of Arts in International Studies
MAM|Mathematics and Applied Mathematics
MAMC|Master of Arts in Mass Communications
MAML|Master of Arts in Ministry and Leadership
MAOB|Master of Arts in Organizational Behavior
MAOM|Masters in Acupuncture and Oriental Medicine
MAOM|Master of Arts in Organizational Management
MAPH|Master of Arts in Public History
MAR|Master of Arts in Religion
MArch|Master of Architecture
MAS|Military Arts and Sciences
MAS|Master of Applied Statistics
MAS|Master of Applied Science
MAST|Master of Architecture in Suburb & Town design
MAT|Master of Arts in Teaching
MATESOL|Master of Arts, Teacher of English to Speakers of Other Languages
MATS|Master of Arts in Theological Studies
MAUA|Master of Arts in Urban Affairs
A.B.|Artium Baccalaureaus
A.M.T|Master of Arts in Teaching
A.Mus.A.|Associate in Music, Australia
A2|Advanced Level 2 (UK educational qualification)
AA|Associate of Arts
AA|Associate in Arts
AA DIP|Antillean Academy DIPloma
AA DIP|Architectural Association Diploma
AAA|Asian Art Appreciation
AAAS|African and African American Studies
AAD|Antillean Academy Diploma
AAFPRS|Fellow of the American Academy of Facial Plastic and Reconstructive Surgery
AAGS|Associate of Arts in General Studies
AAS|Associate of Applied Sciences
AAS|Associate in Applied Science
AASET|Associate of Applied Science in Electrical Technology
AAV|AQIS Accredited Vet
AB|Ars Bachelor
ABA|Associate in Business Administration
ABE|Agricultural Biological Engineering
ABE|Agricultural and Biological Engineering
Aberd.|Aberdeen (Aberdonensis) [Latin]
Aberd.|Aberdonensis (Aberdeen) [Lat.]
ABib|Associate of Bible
ABIM|American Board of Internal Medicine
ABS|Associate in Business Science
ABS|Associate in Business Studies
ABS|Associate in Baccalaureate Studies
ABS|Accelerated Bachelor of Science
ABT|All But Thesis
AC|Applied Communications
ACCP|Addictions Counseling Certificate Program
ACES|Agriculture, Consumer, and Environmental Sciences
ACID|Atomicity Consistency Isolation Durability
ACRL|Advanced Certificate in Rowing Leadership
ACSC|Alabama Controlled Substances Certificate
AD|Associate Degree
ADE|Associate Degree in Education
ADFD|Advance Diploma in Fashion Designing
ADN|Associate Degree in Nursing
ADP|Approved Degree Plan
ADSD|Advanced Diploma in Software Development
ADSE|Advanced Diploma of Software Engineering
AEJ|Associate for Education in Journalism
AFA|Associate in Fine Arts
AFCS|Applied Family and Child Studies
AFPC|Advanced Financial Planning Certificate
AFS|Africana Studies
AGDP|Accelerated Graduate Degree Programs
AGDP|Acquisition Graduate Degree Program
AGGP|Animation and Graphic Game Programming Degree
AHA|Art History and Architecture
AHA|Academics Highly Achieved
AHM|Assistant Headmaster
AHM|Assistant Headmistress
AISM|Associate of Indian School of Mines
AIT|Applied Information Technology
AJD|Accelerated Juris Doctorate
AJP|Accredited Jewelry Professional
AK|Applied Kinesiology
AKC|Associate of King's College
AM|Artium Magister (Master of Arts)
AMBA|Accelerated Masters in Business Administration
AMIE|Associate Member of Indian Engineers
AMO IN PAF|army medical officer 'REDUCTION IN-FORSE' ARM4CEMD
AMTC|Agency Management Training Certification
AMusD|Doctor of Musical Arts
AOA|alpha omega alpha
AOS|Associate in Occupational Studies
APA|Australian Postgraduate Award
APAV|Accreditation Program for Australian Veterinarians
APD|Accredited Practicing Dietitian (Australia)
APSM|Applied Physiology and Sport Management
ARCS|Associate(-ship) of the Royal College of Science
ARCT|Associate of the Royal Conservatory of Toronto
ARE|Academic Research and Engineering
ARTHIST|Art History
ARTSVIS|Visual Arts
AS|Associate of Science
AS|Advanced Subsidiary
ASE|Adult Secondary Education
ASES|Associate of Science in Engineering Science
ASET|Applied Science Engineering and Technology
ASN|Associate of Science in Nursing
AST|Associate in Specialized Technology
AST|Agricultural Systems Technology
ATCP|Agriculture, Trade, and Consumer Protection
ATD|Art Teaching Diploma
ATOL|Air Travel Orgainsers License
AU.D.|Doctor of Audiology
Aud. D.|Doctor of Audiology
AVCE|Advanced Vocational Certificate of Education
B Agr Sc|Bachelor of Agricultural Science
B. Ch. D.|Bachelor of Dental Surgery
B. Com|Bachelor of Commerce
B. D Sc.|Bachelor of Dental Science
B. D. M.|Bachelor of Dental Medicine
B. Dent. Sc.|Bachelor of Dental Science
B. LIB. STUD.|Bachelor of Library Studies
B. Optom.|Bachelor of Optometry
B. Pharm.|Bachelor of Pharmacy
B. Pod.|Bachelor of Podiatry
B.A.|Bachelor of Arts
B.A.M.|Bachelor of Applied Mathematics
B.Arch.|Bachelor of Architecture
B.B.A.|Bachelor of Business Administration
B.C.L.|Bachelor of Canon Law
B.Ch.D.|Bachelor of Dental Surgery
B.Ch.E|Bachelor of Chemical Engineering
B.CHIR.|Bachelopr of Surgery [Lat.]
B.D.M.|Bachelot of Dental Medicine
B.D.M.|Bachelor of Dental Medicine
B.D.S.|Bachelor of Dental Science
B.D.S.|Bachelor of Dental Surgery
B.D.Sc.|Bachelor of Dental Science
B.Dent.|Bachelor of Dentistry
B.Dent.S|Bachelor of Dental Surgery
B.Dent.S.|Bachelor of Dental Surgery
B.Dent.Sc.|Bachelor of Dental Science
B.E.|Bachelor of Engineering
B.Ec.|Bachelor of Economics
B.Ed|Bachelor of Education
B.J.|Bachelor Of Journalism
B.L.|Bachelor of Laws
B.L.I.S.|Bachelor of Library & Information Science
B.LI.S.|Bachelor Of Library Science
B.LIT.|Bachelor Of Literature Science
B.M.|Bachelor of Medicine
B.M.|Bachelor of Music
B.M.,B.S.|Bachelor of Medicine,Bachelor of Surgery
B.M.S.|Bachelor of Machine Science
B.M.S.|Bachelor of Marine Science
B.O.H.D.Sc.|Bachelor of Oral Health in Dental Science
B.OPT|Bachelor of Optometry
B.R.E.|Bachelor of Religious Education
B.S.BM.E.|Bachelor of Science in Biomedical Engineering
B.S.P.T.|Bachelor of Science in Physical Therapy
B.Sc.|Bachelor of Science
B.Sc.P.T.|Bachelor of Science in Physical Therapy
B.SOC.SCI|Bachelor of Social Science
B.TECH.|Bachelor of Technology
B.Th.|Bachelor of Theology
B.V.M.S.|Bachelor of Veterinary Medical Science
B.V.S.|Bachelor of Veterinary Science
B.V.Sc.|Bachelor of Veterinary Science
B.V.SC.&A.H.;|Bachelor of Veterinary Science and Animal Husbandry
BA|Business Administration
BA|Bachelor of Attendance
BA|Bachelor of Arts
BAAE|Bachelor of Aeronautical and Astronautical Engineering
BAAS|Bachelor of Applied Arts and Sciences
BACS|Bachelor of Administrative and Commercial Studies
BACY|Bachelor of Accountancy
BADS|Bachelor of Arts Development Studies
BAE|Bachelor of Architectural Engineering
BAEE|Bachelor of Arts in Elementary Education
BAILS|Bachelor of Arts In Liberal Studies
BAMS|Bachelor of Ayurvedic Medicine and Surgery
BAPSC|Bachelor of Applied Science (Engineering)
BAPW|Bachelor of Arts in Professional Writing
BARCH|Bachelor of Architecture
BASB|Bachelor of Accounting and Sustainable Business
BASLP|Bachelor Of Audio Speech Language Pathology
BAVI|Bachelor of Applied Visual Imaging
BBA|Bachelor of Business Administration
BBA|Bachelor of Business Administraion
BBAE|Bachelor of Business Administration and Engineering
BBE|Bachelor of Business Education
BBEF|Bachelor of Business Economics and Finance
BBI|Bachelor of Banking & Insurance
BBIS|Bachelor of Business Information Systems
BBL|Bachelor of Business Laws
BBM|Bachelor of Business Management
BBSc|Bachelor of Behavioural Science
BBus|Bachelor of Business
BCA|Bachelor of Computer Applications
BCBB|Bachelor of Commerce and Bachelor of Business double degree
BCCP|Business Continuity Certified Planner
BCD|Board Certified Diplomate in Clinical Social Work
BCE|Bachelor of Computer Engineering
BCE|Bachelor of Chemical Engineering
BCE|Bachelor of Civil Engineering
BCE|Bio-Chemical Engineering
BCIS|Bachelor of Computer Information Systems
BCIT|Bachelor in Computer sciences and Information Technology
BCL|Bachelor of Civil Law
BCMP|Biology, Chemistry, Math, And Physics
BCom|Bachelor of Commerce
BCOM|Bachelor of Communications
BCOMM|Bachelor of Commerce
BCS|Bachelor of Computer Science
BD|Bachelor's Degree
BDent|Bachelor of Dentistry
BDES|Bachelor of Design
BDiv|Bachelor of Divinity
BDM|Bachelor of Dental Medicine
BDM|Bachelor of Digital Media
BDMS|Bimap Diploma in Management Studies
BDS|Bachelor of Dental Surgery
BDSc|Bachelor of Dental Science
BE|Bachelor of Engineering
BEAT|Biomedical and Environmental Agriculture Technology
BEC|Business English Certificate
BED|Bachelor of Education
BEMA|Biomedical Engineering Materials And Applications
BENG|Bachelor of Engineering
BES|Bachelor Of Electronic Science
BES|Bachelors of Environmental Studies
BES|Bachelor of Environmental Science
BES|Bachelor of Environmental Studies
BFA|Bachelor of Fine Arts
BFor.Od.|Bachelor of Forensic Odontology
BFPSD|Business Financial Planning Specialist Diploma
BFSC|Bachelor of Forensic Science
BGS|Bachelor of General Studies
BHA|Bachelor of Hotel Administration
BHA|Bachelor in Health Administration
BHE|Blissborn Hypnosis Educator
BHK|Bachelor of Human Kinetics
BHL|Bachelor of Hebrew Literature
BHM|Bachelor of Hotel Management
BHMS|Bachelor of Medicine and Surgery
BHMS|Bachelor of Homeopathic Medicine and Surgery
BHND|Bachelor of Science in Human Nutrition and Dietetics
BHS|Bachelor in Health Science
BHS|Bachelor in/of Health Science(s)
BIB|Bachelor of International Business
BIBF|Bachelor of Intrenational Business and Finance
BID|Bachelor of Industrial Design
BIDP|Business Internship Diploma Program
BIOCHEM|Biochemistry
BIS|Bachelor of Information Sciences
BIS|Bachelors of Interdisiplinary Studies
BJ|Bachelor of Journalism
BJC|Bahamas Junior Certificate
BL|British Literature
BLA|Bachelor of Landscape Architecture
BLDG|Building Levels for Descent Guild
BLISc|Bachelor of Library and Information Science
BM|Bachelor Medicinae
BM|Bachelor of Music
BM BCh|Bachelor of Medicine & Bachelor of Surgery [Lat.]
BMATH|Bachelor of Mathematics
BMBS|Bachelor of Medicine & Bachelor of Surgery
BME|Biomedical Engineering
BME|Biomolecular Engineering
BME|Bachelor of Mechanical Engineering
BME|Bachelor of Music Education
BMed|Bachelor of Medicine
BMEDSC|Bachelor of Medical Science(s)
BMedSci|Bachelor of Medical Science(s)
BMET|Biomedical Engineering Technology
BMMC|Bachelor Multimedia Communication
BMOS|Bachelors of Management and Organizational Studies
BMS|Bachelor of Management Studies
BMS|Bachelor of Medical Sciences
BMUS|Bachelor of Music
BNAD|Bachelor of Nursing After Degree
BNBP|Bachelor of Nursing/Bachelor of Paramedicine
BNYS|Bachelor of Naturopathy and Yogic Science
BO|Bachelor of Osteopathy
BOccThy|Bachelor of Occupational Therapy
BOH|Bachelor of Oral Health
BOHDSc	|Bachelor of Health in Dental Science
BOHDSc|Bachelor of Health in Dental Science
BOSS|Bachelor Of Social Service
BP|Bachelor of Pharmacy
BPA|Bachelor of Performing Arts
BPBA|Bachelor Programme in Business Administration
BPE|Bachelor of Physical Education
BPED|Bachelor of Physical Education Degree
BPH|Bachelor of Public Health
BPHARM|Bachelor of Pharmacy
BPPE|Bachelor of Politics, Philosophy and Economics
BPPE|Bachelor of Power Plant Engineering
BPS|Bachelor Professional Studies
BPT|Bachelor of PhysioTherapy
BPT|Bachelor Education of Physio Therapy
BPTh|Bachelor of Physio Therapy
BS|Bachelor of Science
BS|Biomedical Sciences
BS|Business Studies
BSA|Bachelor of Science in Agriculture
BSA|Bachelor of Science in Accountancy
BSB|Bachelor of Science in Biology
BSB|Bachelor of Science in Business
BSBA|Bachelor of Science in Business Administration
BSBM|Bachelor of Science in Business Management
BSBS|Bachelor of Science in Business Strategy
BSC|Bachelor of SCience
BSC|Bachlor of Science
BSC(AGR)|Bachelor of Science in Agriculture
BScB|Bachelor of Science in Business
BSCD|Bachelor of Science Degree
BSCD|Bachelor of Science in Community Development
BSCE|Bachelor of Science in Computer Engineering
BSCF|Bachelor of Science in Computation Finance
BSCFD|Bachelor of Science in Fashion Design
BSCIS|Bachelor of Science in Computer Information Systems
BSCM|Bachelor of Science in Construction Management
BSCN|Bachelor of Science in Nursing
BSCS|Bachelor of Science in Computer Science
BSE|Bachelor of Science in Engineering
BSED|Bachelor of Science in Education
BSEE|Bachelor of Science in Electrical Engineering
BSEET|Bachelor of Science in Electrical Engineering Technology
BSESE|Bachelor of Science in Environmental and Sanitary Engineering
BSGS|Bachelor of Science in General Studies
BSHMP|Bachelor of Science in Healthcare Management and Policy
BSHS|Bachelor of Science in Human Services
BSHS|Bachelor of Science in Health Sciences
BSIT|Bachelor of Science in Information Technology
BSJ|Bachelor of Science in Journalism
BSLE|Bachelor of Science in Leadership Engineering
BSLM|Bachelor of Science in Legal Management
BSMC|Bachelor of Science in Mass Communication
BSME|Bachelor of Science in Mechanical Engineering
BSME|BS/Mechanical Engineering
BSME|Bachelor of Science Mechanical Engineering
BSMS|Bachelor of Siddha Medicine & Surgery
BSN|Bachelor of Science, Nursing
BSN|Bachelor of Science in Nursing
BSNA|Bachelor of Science in Nursing Administration
BSNE|Bachelor of Science in Network Engineering
BSNM|Bachelor of Science in Nuclear Medicine
BSOA|Bachelor of Science in Office Administration
BSPH|Bachelor of Science in Public Health
BSRT|Bachelor of Science in Radiologic Technology
BSSB|Broadcasting Satellite Service Band
BSSHM|Bachelor of Science in Sustainable Hospitality Management
BSTM|Bachelor of Science Technical Management
BSW|Bachelor of Social Work
BT|Bachelor of Technology
BTA|"Been to America"
BTAD|Bachelor of Technology in Applied Design
BTAE|Bachelor of Technology Aerospace Engineering
BTD|Bachelor in Textile Design
BTECH|Bachelor of Technology
BTED|Bachelor of Teacher Education
BTH|Bachelor in Theology
BTM|Business Technology Management
BTR|Bachelors of Therapeutic Recreation
BTS|Bachelor in Tourism Studies
BTS|Bachelors in Tourism Science
BTTE|Bachelor in Technical Teacher Education
BTTL|Bachelor of Technology (Trade and Technology Leadership)
BTTM|Bachelor in Tourism and Travel Management
BTTM|Bachelor of Travel and Tourism Management
BTTS|Bachelor of Travel and Tourism Studies
BUMS|Bachelor Of Unani Medicine And Surgery
BVetMed|Bachelor of Veterinary Medicine
BVMS|Bachelor of Veterinary Medicine and Surgery
BVS|Bachelor Of Veterinary Science
BVS|Bachelor of Veterinary Surgery
BVSc|Bachelor of Veterinary Science
BVScAH|Bachelor of Veterinary Science and Animal Husbandry
C.Ed.A.|Associate Degree in Christian Education
C.Ed.B.|Bachelor Degree in Christian Education
C.Ed.D.|Doctor of Christian Education
C.Ed.M.|Master of Christian Education
CAC|Certified Addiction Counselor
CACS|Certificate of Advanced Counseling Studies
CAGS|Certificate of Advanced Graduate Study
CAMM|Contracts And Materials Management
Cand. Odont.|Candidate of Odontology
Cand.Odont|Candidate in Odontology
Cantab.|Cantabrigiensis (of Cambridge [Latin].
CAPA|Creative And Performing Arts
CAS|Certificate of Advanced Studies
CBMA|Certified Business Model Analyst
CCC|Certificate of Clinical Competency
CCC|China Compulsory Certification
CCC|College Credit Certificate
CCE|Computer Communication Engineering
CCFP|Certificant of the College of Family Practice
CChem|Chartered Chemist
CCRA|Certified Credit Research Analyst
CCSP|Certified Customer Service Professional
CCST|Certified Control Systems Technician
CDET|College of Distance Education and Training
CE|Civil Engineering
CENG|Chemical Engineering
CEPS|Certified Electrophysiology (EP) Specialist
Cert SAO|Certificate of Small Animal Orthopaedics
CET|Computer Engineering Technology
CF|Conceptual Framework
CGEIT|Certified in the Governance of Enterprise IT
CHA|Certified Hotel Administrator
ChB|Bachelor of Surgery
CHE|Center for Higher Education
CHES|Certified Health Education Specialist
ChM|Master of Surgery
CHRP|Certified Human Resources Professional
CIA|Certified Internal Auditor
CIA|Canadian Institute of Actuaries
CILO|Course Intended Learning Outcome
CIM|Certificate of Initial Mastery
CIM|Comunicazione Interculturale e Multimediale
CIT|Certificate in Information Technology
CLEP|College Level Examination Program
Clin.Psy.D.|Doctor of Clinical Psychology
